edad;peso;talla;sexo;provincia
71;65.7;143.2;MUJER;ALICANTE
65;168.8;149;MUJER;ALICANTE
22;71.6;167;HOMBRE;CASTELLÓN
18;99.6;172.6;HOMBRE;CASTELLÓN
18;65;171.1;HOMBRE;CASTELLÓN
15;50;170.4;HOMBRE;CASTELLÓN
18;61.3;169.5;HOMBRE;CASTELLÓN
19;60;169;HOMBRE;CASTELLÓN
19;54.6;166;HOMBRE;CASTELLÓN
15;66.3;175;HOMBRE;CASTELLÓN
18;69;174;HOMBRE;CASTELLÓN
15;71.6;172.5;HOMBRE;CASTELLÓN
15;70.8;170;HOMBRE;CASTELLÓN
17;72.8;174;HOMBRE;CASTELLÓN
16;84;193.5;HOMBRE;CASTELLÓN
19;76;176.5;HOMBRE;CASTELLÓN
21;73.8;174.5;HOMBRE;CASTELLÓN
20;74.5;178;HOMBRE;CASTELLÓN
18;76.1;179.5;HOMBRE;CASTELLÓN
21;75.2;175.5;HOMBRE;CASTELLÓN
23;75;177;HOMBRE;CASTELLÓN
19;75.6;183;HOMBRE;CASTELLÓN
23;75.6;174.5;HOMBRE;CASTELLÓN
17;77.5;182;HOMBRE;CASTELLÓN
21;83.2;184;HOMBRE;CASTELLÓN
24;84.5;185;HOMBRE;CASTELLÓN
18;82;174;HOMBRE;CASTELLÓN
24;78.2;177.5;HOMBRE;CASTELLÓN
23;114.6;182.5;HOMBRE;CASTELLÓN
19;59;171;HOMBRE;CASTELLÓN
23;;;MUJER;CASTELLÓN
24;53.2;160.5;MUJER;CASTELLÓN
15;71.3;165;MUJER;CASTELLÓN
15;47.9;156;MUJER;CASTELLÓN
24;40.8;156;MUJER;CASTELLÓN
15;56.6;165;MUJER;CASTELLÓN
18;44.5;158.3;MUJER;CASTELLÓN
15;51.1;164.8;MUJER;CASTELLÓN
15;56.8;170;MUJER;CASTELLÓN
20;66.2;164;MUJER;CASTELLÓN
15;51.7;160.8;MUJER;CASTELLÓN
18;54.7;163;MUJER;CASTELLÓN
23;53.8;160.5;MUJER;CASTELLÓN
21;57.2;162.2;MUJER;CASTELLÓN
20;56.8;157.5;MUJER;CASTELLÓN
17;56.2;159.5;MUJER;CASTELLÓN
21;55.7;155;MUJER;CASTELLÓN
24;60.5;162;MUJER;CASTELLÓN
24;79.8;174;MUJER;CASTELLÓN
22;65.2;181;HOMBRE;CASTELLÓN
26;;;HOMBRE;CASTELLÓN
25;58.7;190.3;HOMBRE;CASTELLÓN
34;65.2;169;HOMBRE;CASTELLÓN
29;66.7;170;HOMBRE;CASTELLÓN
26;75.4;180;HOMBRE;CASTELLÓN
25;81.4;184.5;HOMBRE;CASTELLÓN
25;74.6;179.5;HOMBRE;CASTELLÓN
32;65.2;174;HOMBRE;CASTELLÓN
26;73.4;171.5;HOMBRE;CASTELLÓN
33;74;167.3;HOMBRE;CASTELLÓN
29;77.4;168.5;HOMBRE;CASTELLÓN
32;69.2;167;HOMBRE;CASTELLÓN
25;76.2;169;HOMBRE;CASTELLÓN
32;84.3;172;HOMBRE;CASTELLÓN
31;93.6;183;HOMBRE;CASTELLÓN
32;85.9;172;HOMBRE;CASTELLÓN
33;87.8;166.5;HOMBRE;CASTELLÓN
30;98.2;167;HOMBRE;CASTELLÓN
30;58.4;170;MUJER;CASTELLÓN
29;55;165;MUJER;CASTELLÓN
31;61.2;170;MUJER;CASTELLÓN
25;49.8;160;MUJER;CASTELLÓN
26;62.6;170.1;MUJER;CASTELLÓN
30;58.7;160;MUJER;CASTELLÓN
32;50.6;148;MUJER;CASTELLÓN
32;55;154;MUJER;CASTELLÓN
29;57;157;MUJER;CASTELLÓN
25;67.7;161;MUJER;CASTELLÓN
27;69.6;165;MUJER;CASTELLÓN
33;66.8;156.5;MUJER;CASTELLÓN
33;71.8;165.5;MUJER;CASTELLÓN
34;67.5;150.5;MUJER;CASTELLÓN
25;69.2;157.5;MUJER;CASTELLÓN
27;68;164.2;MUJER;CASTELLÓN
43;74.6;181;HOMBRE;CASTELLÓN
36;76.4;185;HOMBRE;CASTELLÓN
44;74.4;173;HOMBRE;CASTELLÓN
48;54.6;149;HOMBRE;CASTELLÓN
35;75.2;165.5;HOMBRE;CASTELLÓN
35;89.2;188;HOMBRE;CASTELLÓN
45;72.9;165;HOMBRE;CASTELLÓN
45;80;171;HOMBRE;CASTELLÓN
46;77.6;170.5;HOMBRE;CASTELLÓN
38;86.3;172;HOMBRE;CASTELLÓN
49;78.8;165;HOMBRE;CASTELLÓN
44;73.2;162.3;HOMBRE;CASTELLÓN
47;84.9;176.5;HOMBRE;CASTELLÓN
36;73.3;163;HOMBRE;CASTELLÓN
